filename,width,height,class,xmin,ymin,xmax,ymax,image_id
Navid_231_jpg.rf.f731f5acb280f76241c280ad70772961.jpg,512,512,motorbike,253,292,289,400,0
Navid_231_jpg.rf.f731f5acb280f76241c280ad70772961.jpg,512,512,motorbike,304,377,342,512,0
Navid_231_jpg.rf.f731f5acb280f76241c280ad70772961.jpg,512,512,motorbike,346,247,396,344,0
Navid_231_jpg.rf.f731f5acb280f76241c280ad70772961.jpg,512,512,motorbike,375,231,424,327,0
Navid_231_jpg.rf.f731f5acb280f76241c280ad70772961.jpg,512,512,car,43,255,152,379,0
Navid_231_jpg.rf.f731f5acb280f76241c280ad70772961.jpg,512,512,car,146,207,251,299,0
Navid_231_jpg.rf.f731f5acb280f76241c280ad70772961.jpg,512,512,suv,67,185,155,279,0
Navid_231_jpg.rf.f731f5acb280f76241c280ad70772961.jpg,512,512,suv,1,146,65,210,0
Navid_231_jpg.rf.f731f5acb280f76241c280ad70772961.jpg,512,512,motorbike,138,175,169,219,0
Navid_231_jpg.rf.f731f5acb280f76241c280ad70772961.jpg,512,512,three wheelers (CNG),66,156,111,201,0
Numan_(264)_jpg.rf.0e7b87cbbedd4575cbd5081f56085331.jpg,512,512,truck,90,3,326,512,1
Numan_(264)_jpg.rf.0e7b87cbbedd4575cbd5081f56085331.jpg,512,512,truck,48,113,103,291,1
Numan_(264)_jpg.rf.0e7b87cbbedd4575cbd5081f56085331.jpg,512,512,pickup,19,167,60,274,1
Numan_(264)_jpg.rf.0e7b87cbbedd4575cbd5081f56085331.jpg,512,512,truck,4,117,50,246,1
Numan_(496)_jpg.rf.8788297e46500efb356824e20ddf4f7c.jpg,512,512,bus,3,198,256,319,2
Numan_(496)_jpg.rf.8788297e46500efb356824e20ddf4f7c.jpg,512,512,wheelbarrow,292,274,347,313,2
Numan_(496)_jpg.rf.8788297e46500efb356824e20ddf4f7c.jpg,512,512,rickshaw,378,251,433,317,2
Numan_(496)_jpg.rf.8788297e46500efb356824e20ddf4f7c.jpg,512,512,van,359,259,367,264,2
